image_path,stamp_id,source_file,angle,gt_date,gt_country,gt_direction,label_confidence
images/stamp12_rot000.png,stamp12,clean_stamps_cropped/stamp12.png,0,1970-11-09,AUS,ENTRY,high
images/stamp12_rot020.png,stamp12,clean_stamps_cropped/stamp12.png,20,1970-11-09,AUS,ENTRY,high
images/stamp12_rot045.png,stamp12,clean_stamps_cropped/stamp12.png,45,1970-11-09,AUS,ENTRY,high
images/stamp12_rot075.png,stamp12,clean_stamps_cropped/stamp12.png,75,1970-11-09,AUS,ENTRY,high
images/stamp12_rot090.png,stamp12,clean_stamps_cropped/stamp12.png,90,1970-11-09,AUS,ENTRY,high
images/stamp12_rot180.png,stamp12,clean_stamps_cropped/stamp12.png,180,1970-11-09,AUS,ENTRY,high
images/stamp12_rot220.png,stamp12,clean_stamps_cropped/stamp12.png,220,1970-11-09,AUS,ENTRY,high
images/stamp1252_rot000.png,stamp1252,clean_stamps_cropped/stamp1252.png,0,2000-03-17,JAM,ENTRY,med
images/stamp1252_rot020.png,stamp1252,clean_stamps_cropped/stamp1252.png,20,2000-03-17,JAM,ENTRY,med
images/stamp1252_rot045.png,stamp1252,clean_stamps_cropped/stamp1252.png,45,2000-03-17,JAM,ENTRY,med
images/stamp1252_rot075.png,stamp1252,clean_stamps_cropped/stamp1252.png,75,2000-03-17,JAM,ENTRY,med
images/stamp1252_rot090.png,stamp1252,clean_stamps_cropped/stamp1252.png,90,2000-03-17,JAM,ENTRY,med
images/stamp1252_rot180.png,stamp1252,clean_stamps_cropped/stamp1252.png,180,2000-03-17,JAM,ENTRY,med
images/stamp1252_rot220.png,stamp1252,clean_stamps_cropped/stamp1252.png,220,2000-03-17,JAM,ENTRY,med
images/stamp135_rot000.png,stamp135,clean_stamps_cropped/stamp135.png,0,2018-01-07,TUR,,med
images/stamp135_rot020.png,stamp135,clean_stamps_cropped/stamp135.png,20,2018-01-07,TUR,,med
images/stamp135_rot045.png,stamp135,clean_stamps_cropped/stamp135.png,45,2018-01-07,TUR,,med
images/stamp135_rot075.png,stamp135,clean_stamps_cropped/stamp135.png,75,2018-01-07,TUR,,med
images/stamp135_rot090.png,stamp135,clean_stamps_cropped/stamp135.png,90,2018-01-07,TUR,,med
images/stamp135_rot180.png,stamp135,clean_stamps_cropped/stamp135.png,180,2018-01-07,TUR,,med
images/stamp135_rot220.png,stamp135,clean_stamps_cropped/stamp135.png,220,2018-01-07,TUR,,med
